,name,url,state,district,party,chamber,term-start,term-end
744,"Mulvaney, Mick",https://www.congress.gov/member/mick-mulvaney/M001182,South Carolina,5,Republican,House,2011,2017
745,"Murkowski, Lisa",https://www.congress.gov/member/lisa-murkowski/M001153,Alaska,N/A,Republican,Senate,2003,
746,"Murphy, Christopher",https://www.congress.gov/member/christopher-murphy/M001169,Connecticut,N/A,Democratic,Senate,2013,
747,"Murphy, Christopher",https://www.congress.gov/member/christopher-murphy/M001169,Connecticut,Missing,Democratic,House,2007,2013
748,"Murphy, Gregory",https://www.congress.gov/member/gregory-murphy/M001210,North Carolina,3,Republican,House,2019,
749,"Murphy, Patrick",https://www.congress.gov/member/patrick-murphy/M001191,Florida,18,Democratic,House,2013,2017
750,"Murphy, Patrick J.",https://www.congress.gov/member/patrick-murphy/M001168,Pennsylvania,8,Democratic,House,2007,2011
751,"Murphy, Scott",https://www.congress.gov/member/scott-murphy/M001178,New York,20,Democratic,House,2009,2011
752,"Murphy, Stephanie N.",https://www.congress.gov/member/stephanie-murphy/M001202,Florida,7,Democratic,House,2017,
753,"Murphy, Tim",https://www.congress.gov/member/tim-murphy/M001151,Pennsylvania,18,Republican,House,2003,2017
754,"Murray, Patty",https://www.congress.gov/member/patty-murray/M001111,Washington,N/A,Democratic,Senate,1993,
755,"Murtha, John P.",https://www.congress.gov/member/john-murtha/M001120,Pennsylvania,12,Democratic,House,1973,2010
756,"Myrick, Sue Wilkins",https://www.congress.gov/member/sue-myrick/M001134,North Carolina,9,Republican,House,1995,2013
757,"Nadler, Jerrold",https://www.congress.gov/member/jerrold-nadler/N000002,New York,10,Democratic,House,1991,
758,"Napolitano, Grace F.",https://www.congress.gov/member/grace-napolitano/N000179,California,32,Democratic,House,1999,
759,"Neal, Richard E.",https://www.congress.gov/member/richard-neal/N000015,Massachusetts,1,Democratic,House,1989,
760,"Negrete McLeod, Gloria",https://www.congress.gov/member/gloria-negrete-mcleod/N000187,California,35,Democratic,House,2013,2015
761,"Neguse, Joe",https://www.congress.gov/member/joe-neguse/N000191,Colorado,2,Democratic,House,2019,
762,"Nelson, Ben",https://www.congress.gov/member/e-nelson/N000180,Nebraska,N/A,Democratic,Senate,2001,2013
763,"Nelson, Bill",https://www.congress.gov/member/clarence-nelson/N000032,Florida,N/A,Democratic,Senate,2001,2019
764,"Nelson, Bill",https://www.congress.gov/member/clarence-nelson/N000032,Florida,Missing,Democratic,House,1979,1991
765,"Neugebauer, Randy",https://www.congress.gov/member/randy-neugebauer/N000182,Texas,19,Republican,House,2003,2017
766,"Newhouse, Dan",https://www.congress.gov/member/dan-newhouse/N000189,Washington,4,Republican,House,2015,
767,"Noem, Kristi L.",https://www.congress.gov/member/kristi-noem/N000184,South Dakota,Missing,Republican,House,2011,2019
768,"Nolan, Richard M.",https://www.congress.gov/member/richard-nolan/N000127,Minnesota,8,Democratic,House,1975,1981
769,"Nolan, Richard M.",https://www.congress.gov/member/richard-nolan/N000127,Minnesota,8,Democratic,House,2013,2019
770,"Norcross, Donald",https://www.congress.gov/member/donald-norcross/N000188,New Jersey,1,Democratic,House,2014,
771,"Norman, Ralph",https://www.congress.gov/member/ralph-norman/N000190,South Carolina,5,Republican,House,2017,
772,"Norton, Eleanor Holmes",https://www.congress.gov/member/eleanor-norton/N000147,District of Columbia,Missing,Democratic,House,1991,
773,"Nugent, Richard B.",https://www.congress.gov/member/richard-nugent/N000185,Florida,11,Republican,House,2011,2017
774,"Nunes, Devin",https://www.congress.gov/member/devin-nunes/N000181,California,22,Republican,House,2003,
775,"Nunnelee, Alan",https://www.congress.gov/member/alan-nunnelee/N000186,Mississippi,1,Republican,House,2011,2015
776,"Nye, Glenn C.",https://www.congress.gov/member/glenn-nye/N000183,Virginia,2,Democratic,House,2009,2011
777,"O'Halleran, Tom",https://www.congress.gov/member/tom-o-halleran/O000171,Arizona,1,Democratic,House,2017,
778,"O'Rourke, Beto",https://www.congress.gov/member/beto-o-rourke/O000170,Texas,16,Democratic,House,2013,2019
779,"Oberstar, James L.",https://www.congress.gov/member/james-oberstar/O000006,Minnesota,8,Democratic,House,1975,2011
780,"Obey, David R.",https://www.congress.gov/member/david-obey/O000007,Wisconsin,7,Democratic,House,1969,2011
781,"Ocasio-Cortez, Alexandria",https://www.congress.gov/member/alexandria-ocasio-cortez/O000172,New York,14,Democratic,House,2019,
782,"Olson, Pete",https://www.congress.gov/member/pete-olson/O000168,Texas,22,Republican,House,2009,
783,"Olver, John W.",https://www.congress.gov/member/john-olver/O000085,Massachusetts,1,Democratic,House,1991,2013
784,"Omar, Ilhan",https://www.congress.gov/member/ilhan-omar/O000173,Minnesota,5,Democratic,House,2019,
785,"Ortiz, Solomon P.",https://www.congress.gov/member/solomon-ortiz/O000107,Texas,27,Democratic,House,1983,2011
786,"Owens, William L.",https://www.congress.gov/member/william-owens/O000169,New York,21,Democratic,House,2009,2015
787,"Palazzo, Steven M.",https://www.congress.gov/member/steven-palazzo/P000601,Mississippi,4,Republican,House,2011,
788,"Pallone, Frank, Jr.",https://www.congress.gov/member/frank-pallone/P000034,New Jersey,6,Democratic,House,1987,
789,"Palmer, Gary J.",https://www.congress.gov/member/gary-palmer/P000609,Alabama,6,Republican,House,2015,
790,"Panetta, Jimmy",https://www.congress.gov/member/jimmy-panetta/P000613,California,20,Democratic,House,2017,
791,"Pappas, Chris",https://www.congress.gov/member/chris-pappas/P000614,New Hampshire,1,Democratic,House,2019,
792,"Pascrell, Bill, Jr.",https://www.congress.gov/member/william-pascrell/P000096,New Jersey,9,Democratic,House,1997,
793,"Pastor, Ed",https://www.congress.gov/member/ed-pastor/P000099,Arizona,7,Democratic,House,1991,2015
794,"Paul, Rand",https://www.congress.gov/member/rand-paul/P000603,Kentucky,N/A,Republican,Senate,2011,
795,"Paul, Ron",https://www.congress.gov/member/ron-paul/P000583,Texas,14,Republican,House,1975,1977
796,"Paul, Ron",https://www.congress.gov/member/ron-paul/P000583,Texas,14,Republican,House,1979,1985
797,"Paul, Ron",https://www.congress.gov/member/ron-paul/P000583,Texas,14,Republican,House,1997,2013
798,"Paulsen, Erik",https://www.congress.gov/member/erik-paulsen/P000594,Minnesota,3,Republican,House,2009,2019
799,"Payne, Donald M.",https://www.congress.gov/member/donald-payne/P000149,New Jersey,10,Democratic,House,1989,2012
800,"Payne, Donald M., Jr.",https://www.congress.gov/member/donald-payne/P000604,New Jersey,10,Democratic,House,2012,
801,"Pearce, Stevan",https://www.congress.gov/member/stevan-pearce/P000588,New Mexico,2,Republican,House,2003,2009
802,"Pearce, Stevan",https://www.congress.gov/member/stevan-pearce/P000588,New Mexico,2,Republican,House,2011,2019
803,"Pelosi, Nancy",https://www.congress.gov/member/nancy-pelosi/P000197,California,12,Democratic,House,1987,
804,"Pence, Greg",https://www.congress.gov/member/greg-pence/P000615,Indiana,6,Republican,House,2019,
805,"Pence, Mike",https://www.congress.gov/member/mike-pence/P000587,Indiana,6,Republican,House,2001,2013
806,"Perdue, David",https://www.congress.gov/member/david-perdue/P000612,Georgia,N/A,Republican,Senate,2015,
807,"Perlmutter, Ed",https://www.congress.gov/member/ed-perlmutter/P000593,Colorado,7,Democratic,House,2007,
808,"Perriello, Thomas S.P.",https://www.congress.gov/member/thomas-perriello/P000600,Virginia,5,Democratic,House,2009,2011
809,"Perry, Scott",https://www.congress.gov/member/scott-perry/P000605,Pennsylvania,10,Republican,House,2013,
810,"Peters, Gary C.",https://www.congress.gov/member/gary-peters/P000595,Michigan,N/A,Democratic,Senate,2015,
811,"Peters, Gary C.",https://www.congress.gov/member/gary-peters/P000595,Michigan,Missing,Democratic,House,2009,2015
812,"Peters, Scott H.",https://www.congress.gov/member/scott-peters/P000608,California,52,Democratic,House,2013,
813,"Peterson, Collin C.",https://www.congress.gov/member/collin-peterson/P000258,Minnesota,7,Democratic,House,1991,
814,"Petri, Thomas E.",https://www.congress.gov/member/tom-petri/P000265,Wisconsin,6,Republican,House,1979,2015
815,"Phillips, Dean",https://www.congress.gov/member/dean-phillips/P000616,Minnesota,3,Democratic,House,2019,
816,"Pierluisi, Pedro R.",https://www.congress.gov/member/pedro-pierluisi/P000596,Puerto Rico,Missing,Democratic,House,2009,2017
817,"Pingree, Chellie",https://www.congress.gov/member/chellie-pingree/P000597,Maine,1,Democratic,House,2009,
818,"Pittenger, Robert",https://www.congress.gov/member/robert-pittenger/P000606,North Carolina,9,Republican,House,2013,2019
819,"Pitts, Joseph R.",https://www.congress.gov/member/joseph-pitts/P000373,Pennsylvania,16,Republican,House,1997,2017
820,"Plaskett, Stacey E.",https://www.congress.gov/member/stacey-plaskett/P000610,Virgin Islands,Missing,Democratic,House,2015,
821,"Platts, Todd Russell",https://www.congress.gov/member/todd-platts/P000585,Pennsylvania,19,Republican,House,2001,2013
822,"Pocan, Mark",https://www.congress.gov/member/mark-pocan/P000607,Wisconsin,2,Democratic,House,2013,
823,"Poe, Ted",https://www.congress.gov/member/ted-poe/P000592,Texas,2,Republican,House,2005,2019
824,"Poliquin, Bruce",https://www.congress.gov/member/bruce-poliquin/P000611,Maine,2,Republican,House,2015,2019
825,"Polis, Jared",https://www.congress.gov/member/jared-polis/P000598,Colorado,2,Democratic,House,2009,2019
826,"Pomeroy, Earl",https://www.congress.gov/member/earl-pomeroy/P000422,North Dakota,Missing,Democratic,House,1993,2011
827,"Pompeo, Mike",https://www.congress.gov/member/mike-pompeo/P000602,Kansas,4,Republican,House,2011,2017
828,"Porter, Katie",https://www.congress.gov/member/katie-porter/P000618,California,45,Democratic,House,2019,
829,"Portman, Rob",https://www.congress.gov/member/rob-portman/P000449,Ohio,N/A,Republican,Senate,2011,
830,"Portman, Rob",https://www.congress.gov/member/rob-portman/P000449,Ohio,Missing,Republican,House,1993,2007
831,"Posey, Bill",https://www.congress.gov/member/bill-posey/P000599,Florida,8,Republican,House,2009,
832,"Pressley, Ayanna",https://www.congress.gov/member/ayanna-pressley/P000617,Massachusetts,7,Democratic,House,2019,
833,"Price, David E.",https://www.congress.gov/member/david-price/P000523,North Carolina,4,Democratic,House,1987,1995
834,"Price, David E.",https://www.congress.gov/member/david-price/P000523,North Carolina,4,Democratic,House,1997,
835,"Price, Tom",https://www.congress.gov/member/tom-price/P000591,Georgia,6,Republican,House,2005,2017
836,"Pryor, Mark L.",https://www.congress.gov/member/mark-pryor/P000590,Arkansas,N/A,Democratic,Senate,2003,2015
837,"Putnam, Adam H.",https://www.congress.gov/member/adam-putnam/P000586,Florida,12,Republican,House,2001,2011
838,"Quayle, Benjamin",https://www.congress.gov/member/benjamin-quayle/Q000024,Arizona,3,Republican,House,2011,2013
839,"Quigley, Mike",https://www.congress.gov/member/mike-quigley/Q000023,Illinois,5,Democratic,House,2009,
840,"Radanovich, George",https://www.congress.gov/member/george-radanovich/R000004,California,19,Republican,House,1995,2011
841,"Radel, Trey",https://www.congress.gov/member/trey-radel/R000596,Florida,19,Republican,House,2013,2014
842,"Radewagen, Aumua Amata Coleman",https://www.congress.gov/member/aumua-amata-radewagen/R000600,American Samoa,Missing,Republican,House,2015,
843,"Rahall, Nick J., II",https://www.congress.gov/member/nick-rahall/R000011,West Virginia,3,Democratic,House,1977,2015
844,"Rangel, Charles B.",https://www.congress.gov/member/charles-rangel/R000053,New York,13,Democratic,House,1971,2017
845,"Raskin, Jamie",https://www.congress.gov/member/jamie-raskin/R000606,Maryland,8,Democratic,House,2017,
846,"Ratcliffe, John",https://www.congress.gov/member/john-ratcliffe/R000601,Texas,4,Republican,House,2015,
847,"Reed, Jack",https://www.congress.gov/member/john-reed/R000122,Rhode Island,N/A,Democratic,Senate,1997,
848,"Reed, Jack",https://www.congress.gov/member/john-reed/R000122,Rhode Island,Missing,Democratic,House,1991,1997
849,"Reed, Tom",https://www.congress.gov/member/tom-reed/R000585,New York,23,Republican,House,2010,
850,"Rehberg, Denny",https://www.congress.gov/member/denny-rehberg/R000571,Montana,Missing,Republican,House,2001,2013
851,"Reichert, David G.",https://www.congress.gov/member/david-reichert/R000578,Washington,8,Republican,House,2005,2019
852,"Reid, Harry",https://www.congress.gov/member/harry-reid/R000146,Nevada,N/A,Democratic,Senate,1987,2017
853,"Reid, Harry",https://www.congress.gov/member/harry-reid/R000146,Nevada,Missing,Democratic,House,1983,1987
854,"Renacci, James B.",https://www.congress.gov/member/james-renacci/R000586,Ohio,16,Republican,House,2011,2019
855,"Reschenthaler, Guy",https://www.congress.gov/member/guy-reschenthaler/R000610,Pennsylvania,14,Republican,House,2019,
856,"Reyes, Silvestre",https://www.congress.gov/member/silvestre-reyes/R000170,Texas,16,Democratic,House,1997,2013
857,"Ribble, Reid J.",https://www.congress.gov/member/reid-ribble/R000587,Wisconsin,8,Republican,House,2011,2017
858,"Rice, Kathleen M.",https://www.congress.gov/member/kathleen-rice/R000602,New York,4,Democratic,House,2015,
859,"Rice, Tom",https://www.congress.gov/member/tom-rice/R000597,South Carolina,7,Republican,House,2013,
860,"Richardson, Laura",https://www.congress.gov/member/laura-richardson/R000581,California,37,Democratic,House,2007,2013
861,"Richmond, Cedric L.",https://www.congress.gov/member/cedric-richmond/R000588,Louisiana,2,Democratic,House,2011,
862,"Rigell, E. Scott",https://www.congress.gov/member/e-rigell/R000589,Virginia,2,Republican,House,2011,2017
863,"Riggleman, Denver",https://www.congress.gov/member/denver-riggleman/R000611,Virginia,5,Republican,House,2019,
864,"Risch, James E.",https://www.congress.gov/member/james-risch/R000584,Idaho,N/A,Republican,Senate,2009,
865,"Rivera, David",https://www.congress.gov/member/david-rivera/R000590,Florida,25,Republican,House,2011,2013
866,"Roberts, Pat",https://www.congress.gov/member/pat-roberts/R000307,Kansas,N/A,Republican,Senate,1997,
867,"Roberts, Pat",https://www.congress.gov/member/pat-roberts/R000307,Kansas,Missing,Republican,House,1981,1997
868,"Roby, Martha",https://www.congress.gov/member/martha-roby/R000591,Alabama,2,Republican,House,2011,
869,"Rockefeller, John D., IV",https://www.congress.gov/member/jay-rockefeller/R000361,West Virginia,N/A,Democratic,Senate,1985,2015
870,"Rodriguez, Ciro D.",https://www.congress.gov/member/ciro-rodriguez/R000568,Texas,23,Democratic,House,1997,2005
871,"Rodriguez, Ciro D.",https://www.congress.gov/member/ciro-rodriguez/R000568,Texas,23,Democratic,House,2007,2011
872,"Roe, David P.",https://www.congress.gov/member/david-roe/R000582,Tennessee,1,Republican,House,2009,
873,"Rogers, Harold",https://www.congress.gov/member/harold-rogers/R000395,Kentucky,5,Republican,House,1981,
874,"Rogers, Mike D.",https://www.congress.gov/member/mike-rogers/R000575,Alabama,3,Republican,House,2003,
875,"Rogers, Mike J.",https://www.congress.gov/member/mike-rogers/R000572,Michigan,8,Republican,House,2001,2015
876,"Rohrabacher, Dana",https://www.congress.gov/member/dana-rohrabacher/R000409,California,48,Republican,House,1989,2019
877,"Rokita, Todd",https://www.congress.gov/member/todd-rokita/R000592,Indiana,4,Republican,House,2011,2019
878,"Romney, Mitt",https://www.congress.gov/member/mitt-romney/R000615,Utah,N/A,Republican,Senate,2019,
879,"Rooney, Francis",https://www.congress.gov/member/francis-rooney/R000607,Florida,19,Republican,House,2017,
880,"Rooney, Thomas J.",https://www.congress.gov/member/thomas-rooney/R000583,Florida,17,Republican,House,2009,2019
881,"Ros-Lehtinen, Ileana",https://www.congress.gov/member/ileana-ros-lehtinen/R000435,Florida,27,Republican,House,1989,2019
882,"Rose, John W.",https://www.congress.gov/member/john-rose/R000612,Tennessee,6,Republican,House,2019,
883,"Rose, Max",https://www.congress.gov/member/max-rose/R000613,New York,11,Democratic,House,2019,
884,"Rosen, Jacky",https://www.congress.gov/member/jacklyn-rosen/R000608,Nevada,N/A,Democratic,Senate,2019,
885,"Rosen, Jacky",https://www.congress.gov/member/jacklyn-rosen/R000608,Nevada,Missing,Democratic,House,2017,2019
886,"Roskam, Peter J.",https://www.congress.gov/member/peter-roskam/R000580,Illinois,6,Republican,House,2007,2019
887,"Ross, Dennis A.",https://www.congress.gov/member/dennis-ross/R000593,Florida,15,Republican,House,2011,2019
888,"Ross, Mike",https://www.congress.gov/member/mike-ross/R000573,Arkansas,4,Democratic,House,2001,2013
889,"Rothfus, Keith J.",https://www.congress.gov/member/keith-rothfus/R000598,Pennsylvania,12,Republican,House,2013,2019
890,"Rothman, Steven R.",https://www.congress.gov/member/steven-rothman/R000462,New Jersey,9,Democratic,House,1997,2013
891,"Rouda, Harley",https://www.congress.gov/member/harley-rouda/R000616,California,48,Democratic,House,2019,
892,"Rounds, Mike",https://www.congress.gov/member/mike-rounds/R000605,South Dakota,N/A,Republican,Senate,2015,
893,"Rouzer, David",https://www.congress.gov/member/david-rouzer/R000603,North Carolina,7,Republican,House,2015,
894,"Roy, Chip",https://www.congress.gov/member/chip-roy/R000614,Texas,21,Republican,House,2019,
895,"Roybal-Allard, Lucille",https://www.congress.gov/member/lucille-roybal-allard/R000486,California,40,Democratic,House,1993,
896,"Royce, Edward R.",https://www.congress.gov/member/ed-royce/R000487,California,39,Republican,House,1993,2019
897,"Rubio, Marco",https://www.congress.gov/member/marco-rubio/R000595,Florida,N/A,Republican,Senate,2011,
898,"Ruiz, Raul",https://www.congress.gov/member/raul-ruiz/R000599,California,36,Democratic,House,2013,
899,"Runyan, Jon",https://www.congress.gov/member/jon-runyan/R000594,New Jersey,3,Republican,House,2011,2015
900,"Ruppersberger, C. A. Dutch",https://www.congress.gov/member/c-a-ruppersberger/R000576,Maryland,2,Democratic,House,2003,
901,"Rush, Bobby L.",https://www.congress.gov/member/bobby-rush/R000515,Illinois,1,Democratic,House,1993,
902,"Russell, Steve",https://www.congress.gov/member/steve-russell/R000604,Oklahoma,5,Republican,House,2015,2019
903,"Rutherford, John H.",https://www.congress.gov/member/john-rutherford/R000609,Florida,4,Republican,House,2017,
904,"Ryan, Paul D.",https://www.congress.gov/member/paul-ryan/R000570,Wisconsin,1,Republican,House,1999,2019
905,"Ryan, Tim",https://www.congress.gov/member/tim-ryan/R000577,Ohio,13,Democratic,House,2003,
906,"Sablan, Gregorio Kilili Camacho",https://www.congress.gov/member/gregorio-sablan/S001177,Northern Mariana Islands,Missing,Democratic,House,2009,
907,"Salazar, John T.",https://www.congress.gov/member/john-salazar/S001158,Colorado,3,Democratic,House,2005,2011
908,"Salazar, Ken",https://www.congress.gov/member/ken-salazar/S001163,Colorado,N/A,Democratic,Senate,2005,2009
909,"Salmon, Matt",https://www.congress.gov/member/matt-salmon/S000018,Arizona,5,Republican,House,1995,2001
910,"Salmon, Matt",https://www.congress.gov/member/matt-salmon/S000018,Arizona,5,Republican,House,2013,2017
911,"San Nicolas, Michael F. Q.",https://www.congress.gov/member/michael-san-nicolas/S001204,Guam,Missing,Democratic,House,2019,
912,"Sanchez, Linda T.",https://www.congress.gov/member/linda-sanchez/S001156,California,38,Democratic,House,2003,
913,"Sanchez, Loretta",https://www.congress.gov/member/loretta-sanchez/S000030,California,46,Democratic,House,1997,2017
914,"Sanders, Bernard",https://www.congress.gov/member/bernard-sanders/S000033,Vermont,N/A,Independent,Senate,2007,
915,"Sanders, Bernard",https://www.congress.gov/member/bernard-sanders/S000033,Vermont,Missing,Independent,House,1991,2007
916,"Sanford, Mark",https://www.congress.gov/member/mark-sanford/S000051,South Carolina,1,Republican,House,1995,2001
917,"Sanford, Mark",https://www.congress.gov/member/mark-sanford/S000051,South Carolina,1,Republican,House,2013,2019
918,"Sarbanes, John P.",https://www.congress.gov/member/john-sarbanes/S001168,Maryland,3,Democratic,House,2007,
919,"Sasse, Ben",https://www.congress.gov/member/ben-sasse/S001197,Nebraska,N/A,Republican,Senate,2015,
920,"Scalise, Steve",https://www.congress.gov/member/steve-scalise/S001176,Louisiana,1,Republican,House,2008,
921,"Scanlon, Mary Gay",https://www.congress.gov/member/mary-scanlon/S001205,Pennsylvania,5,Democratic,House,2018,
922,"Schakowsky, Janice D.",https://www.congress.gov/member/janice-schakowsky/S001145,Illinois,9,Democratic,House,1999,
923,"Schatz, Brian",https://www.congress.gov/member/brian-schatz/S001194,Hawaii,N/A,Democratic,Senate,2012,
924,"Schauer, Mark H.",https://www.congress.gov/member/mark-schauer/S001178,Michigan,7,Democratic,House,2009,2011
925,"Schiff, Adam B.",https://www.congress.gov/member/adam-schiff/S001150,California,28,Democratic,House,2001,
926,"Schilling, Robert T.",https://www.congress.gov/member/robert-schilling/S001182,Illinois,17,Republican,House,2011,2013
927,"Schmidt, Jean",https://www.congress.gov/member/jean-schmidt/S001164,Ohio,2,Republican,House,2005,2013
928,"Schneider, Bradley Scott",https://www.congress.gov/member/bradley-schneider/S001190,Illinois,10,Democratic,House,2013,2015
929,"Schneider, Bradley Scott",https://www.congress.gov/member/bradley-schneider/S001190,Illinois,10,Democratic,House,2017,
930,"Schock, Aaron",https://www.congress.gov/member/aaron-schock/S001179,Illinois,18,Republican,House,2009,2015
931,"Schrader, Kurt",https://www.congress.gov/member/kurt-schrader/S001180,Oregon,5,Democratic,House,2009,
932,"Schrier, Kim",https://www.congress.gov/member/kim-schrier/S001216,Washington,8,Democratic,House,2019,
933,"Schumer, Charles E.",https://www.congress.gov/member/charles-schumer/S000148,New York,N/A,Democratic,Senate,1999,
934,"Schumer, Charles E.",https://www.congress.gov/member/charles-schumer/S000148,New York,Missing,Democratic,House,1981,1999
935,"Schwartz, Allyson Y.",https://www.congress.gov/member/allyson-schwartz/S001162,Pennsylvania,13,Democratic,House,2005,2015
936,"Schweikert, David",https://www.congress.gov/member/david-schweikert/S001183,Arizona,6,Republican,House,2011,
937,"Scott, Austin",https://www.congress.gov/member/austin-scott/S001189,Georgia,8,Republican,House,2011,
938,"Scott, David",https://www.congress.gov/member/david-scott/S001157,Georgia,13,Democratic,House,2003,
939,"Scott, Rick",https://www.congress.gov/member/rick-scott/S001217,Florida,N/A,Republican,Senate,2019,
940,"Scott, Robert C. ""Bobby""",https://www.congress.gov/member/robert-scott/S000185,Virginia,3,Democratic,House,1993,
941,"Scott, Tim",https://www.congress.gov/member/tim-scott/S001184,South Carolina,N/A,Republican,Senate,2013,
942,"Scott, Tim",https://www.congress.gov/member/tim-scott/S001184,South Carolina,Missing,Republican,House,2011,2013
943,"Sensenbrenner, F. James, Jr.",https://www.congress.gov/member/f-sensenbrenner/S000244,Wisconsin,5,Republican,House,1979,
944,"Serrano, Jose E.",https://www.congress.gov/member/jose-serrano/S000248,New York,15,Democratic,House,1989,
945,"Sessions, Jeff",https://www.congress.gov/member/jeff-sessions/S001141,Alabama,N/A,Republican,Senate,1997,2017
946,"Sessions, Pete",https://www.congress.gov/member/pete-sessions/S000250,Texas,32,Republican,House,1997,2019
947,"Sestak, Joe",https://www.congress.gov/member/joe-sestak/S001169,Pennsylvania,7,Democratic,House,2007,2011
948,"Sewell, Terri A.",https://www.congress.gov/member/terri-sewell/S001185,Alabama,7,Democratic,House,2011,
949,"Shadegg, John B.",https://www.congress.gov/member/john-shadegg/S000275,Arizona,3,Republican,House,1995,2011
950,"Shaheen, Jeanne",https://www.congress.gov/member/jeanne-shaheen/S001181,New Hampshire,N/A,Democratic,Senate,2009,
951,"Shalala, Donna E.",https://www.congress.gov/member/donna-shalala/S001206,Florida,27,Democratic,House,2019,
952,"Shea-Porter, Carol",https://www.congress.gov/member/carol-shea-porter/S001170,New Hampshire,1,Democratic,House,2007,2011
953,"Shea-Porter, Carol",https://www.congress.gov/member/carol-shea-porter/S001170,New Hampshire,1,Democratic,House,2013,2015
954,"Shea-Porter, Carol",https://www.congress.gov/member/carol-shea-porter/S001170,New Hampshire,1,Democratic,House,2017,2019
955,"Shelby, Richard C.",https://www.congress.gov/member/richard-shelby/S000320,Alabama,N/A,Republican,Senate,1987,
956,"Shelby, Richard C.",https://www.congress.gov/member/richard-shelby/S000320,Alabama,Missing,Republican,House,1979,1987
957,"Sherman, Brad",https://www.congress.gov/member/brad-sherman/S000344,California,30,Democratic,House,1997,
958,"Sherrill, Mikie",https://www.congress.gov/member/mikie-sherrill/S001207,New Jersey,11,Democratic,House,2019,
959,"Shimkus, John",https://www.congress.gov/member/john-shimkus/S000364,Illinois,15,Republican,House,1997,
960,"Shuler, Heath",https://www.congress.gov/member/heath-shuler/S001171,North Carolina,11,Democratic,House,2007,2013
961,"Shuster, Bill",https://www.congress.gov/member/bill-shuster/S001154,Pennsylvania,9,Republican,House,2001,2019
962,"Simpson, Michael K.",https://www.congress.gov/member/michael-simpson/S001148,Idaho,2,Republican,House,1999,
963,"Sinema, Kyrsten",https://www.congress.gov/member/kyrsten-sinema/S001191,Arizona,N/A,Democratic,Senate,2019,
964,"Sinema, Kyrsten",https://www.congress.gov/member/kyrsten-sinema/S001191,Arizona,Missing,Democratic,House,2013,2019
965,"Sires, Albio",https://www.congress.gov/member/albio-sires/S001165,New Jersey,8,Democratic,House,2005,
966,"Skelton, Ike",https://www.congress.gov/member/ike-skelton/S000465,Missouri,4,Democratic,House,1977,2011
967,"Slaughter, Louise McIntosh",https://www.congress.gov/member/louise-slaughter/S000480,New York,25,Democratic,House,1987,2018
968,"Slotkin, Elissa",https://www.congress.gov/member/elissa-slotkin/S001208,Michigan,8,Democratic,House,2019,
969,"Smith, Adam",https://www.congress.gov/member/adam-smith/S000510,Washington,9,Democratic,House,1997,
970,"Smith, Adrian",https://www.congress.gov/member/adrian-smith/S001172,Nebraska,3,Republican,House,2007,
971,"Smith, Christopher H.",https://www.congress.gov/member/christopher-smith/S000522,New Jersey,4,Republican,House,1981,
972,"Smith, Jason",https://www.congress.gov/member/jason-smith/S001195,Missouri,8,Republican,House,2013,
973,"Smith, Lamar",https://www.congress.gov/member/lamar-smith/S000583,Texas,21,Republican,House,1987,2019
974,"Smith, Tina",https://www.congress.gov/member/tina-smith/S001203,Minnesota,N/A,Democratic,Senate,2018,
975,"Smucker, Lloyd",https://www.congress.gov/member/lloyd-smucker/S001199,Pennsylvania,11,Republican,House,2017,
976,"Snowe, Olympia J.",https://www.congress.gov/member/olympia-snowe/S000663,Maine,N/A,Republican,Senate,1995,2013
977,"Snowe, Olympia J.",https://www.congress.gov/member/olympia-snowe/S000663,Maine,Missing,Republican,House,1979,1995
978,"Snyder, Vic",https://www.congress.gov/member/victor-snyder/S000672,Arkansas,2,Democratic,House,1997,2011
979,"Solis, Hilda L.",https://www.congress.gov/member/hilda-solis/S001153,California,32,Democratic,House,2001,2009
980,"Soto, Darren",https://www.congress.gov/member/darren-soto/S001200,Florida,9,Democratic,House,2017,
981,"Souder, Mark E.",https://www.congress.gov/member/mark-souder/S001143,Indiana,3,Republican,House,1995,2010
982,"Southerland, Steve II",https://www.congress.gov/member/steve-southerland/S001186,Florida,2,Republican,House,2011,2015
983,"Space, Zachary T.",https://www.congress.gov/member/zachary-space/S001173,Ohio,18,Democratic,House,2007,2011
984,"Spanberger, Abigail Davis",https://www.congress.gov/member/abigail-spanberger/S001209,Virginia,7,Democratic,House,2019,
985,"Spano, Ross",https://www.congress.gov/member/ross-spano/S001210,Florida,15,Republican,House,2019,
986,"Specter, Arlen",https://www.congress.gov/member/arlen-specter/S000709,Pennsylvania,N/A,Democratic,Senate,1981,2011
987,"Speier, Jackie",https://www.congress.gov/member/jackie-speier/S001175,California,14,Democratic,House,2008,
988,"Spratt, John M., Jr.",https://www.congress.gov/member/john-spratt/S000749,South Carolina,5,Democratic,House,1983,2011
989,"Stabenow, Debbie",https://www.congress.gov/member/deborah-stabenow/S000770,Michigan,N/A,Democratic,Senate,2001,
990,"Stabenow, Debbie",https://www.congress.gov/member/deborah-stabenow/S000770,Michigan,Missing,Democratic,House,1997,2001
991,"Stanton, Greg",https://www.congress.gov/member/greg-stanton/S001211,Arizona,9,Democratic,House,2019,
992,"Stark, Fortney Pete",https://www.congress.gov/member/pete-stark/S000810,California,13,Democratic,House,1973,2013
