name,url,party,state,district,chamber,start,end
"Burton, Dan",https://www.congress.gov/member/dan-burton/B001149,Republican,Indiana,5,House,2003,2013
"Burton, Dan",https://www.congress.gov/member/dan-burton/B001149,Republican,Indiana,6,House,1983,2003
"Bustos, Cheri",https://www.congress.gov/member/cheri-bustos/B001286,Democratic,Illinois,17,House,2013,inf
"Butterfield, G. K.",https://www.congress.gov/member/g-k-butterfield/B001251,Democratic,North Carolina,1,House,2004,inf
"Buyer, Steve",https://www.congress.gov/member/stephen-buyer/B001203,Republican,Indiana,4,House,2003,2011
"Buyer, Steve",https://www.congress.gov/member/stephen-buyer/B001203,Republican,Indiana,5,House,1993,2003
"Byrd, Robert C.",https://www.congress.gov/member/robert-byrd/B001210,Democratic,West Virginia,0,Senate,1959,2010
"Byrd, Robert C.",https://www.congress.gov/member/robert-byrd/B001210,Democratic,West Virginia,6,House,1953,1959
"Byrne, Bradley",https://www.congress.gov/member/bradley-byrne/B001289,Republican,Alabama,1,House,2014,inf
"Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,Republican,California,42,House,2013,inf
"Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,Republican,California,44,House,2003,2013
"Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,Republican,California,43,House,1993,2003
"Camp, Dave",https://www.congress.gov/member/dave-camp/C000071,Republican,Michigan,4,House,1993,2015
"Camp, Dave",https://www.congress.gov/member/dave-camp/C000071,Republican,Michigan,10,House,1991,1993
"Campbell, John",https://www.congress.gov/member/john-campbell/C001064,Republican,California,45,House,2013,2015
"Campbell, John",https://www.congress.gov/member/john-campbell/C001064,Republican,California,48,House,2005,2013
"Canseco, Francisco ""Quico""",https://www.congress.gov/member/francisco-canseco/C001082,Republican,Texas,23,House,2011,2013
"Cantor, Eric",https://www.congress.gov/member/eric-cantor/C001046,Republican,Virginia,7,House,2001,2014
"Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Democratic,Washington,0,Senate,2001,inf
"Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Democratic,Washington,1,House,1993,1995
"Cao, Anh ""Joseph""",https://www.congress.gov/member/anh-cao/C001079,Republican,Louisiana,2,House,2009,2011
"Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,Republican,West Virginia,0,Senate,2015,inf
"Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,Republican,West Virginia,2,House,2001,2015
"Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,Democratic,California,24,House,2013,2017
"Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,Democratic,California,23,House,2003,2013
